Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
Pinché aguacero que está cayendo.,Wed Apr 22 00:55:32 +0000 2020,"Ecatepec de Morelos, México",-99.118665,19.484399,-99.118665,19.652161,-98.970224,19.652161,-98.970224,19.484399
Aguacero en la CDMX.,Wed Apr 22 01:18:45 +0000 2020,"Miguel Hidalgo, Distrito Federal",-99.259495,19.386371,-99.259495,19.473498,-99.163526,19.473498,-99.163526,19.386371
"@lopezdoriga Col. Santa Cruz Atoyac, solo fuerte aguacero, en este momento 20:25 hrs.",Wed Apr 22 01:25:09 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
Aguacero de Mayo ¡Déjate caer!  https://t.co/CJGgNKyD7Y,Wed Apr 22 01:29:05 +0000 2020,"Álvaro Obregón, Distrito Federal",-99.324375,19.232228,-99.324375,19.403856,-99.171644,19.403856,-99.171644,19.232228
"@beltrandelrio Tlalpan apenas empieza, ojalá llegue a aguacero",Wed Apr 22 01:35:19 +0000 2020,"Tlalpan, Distrito Federal",-99.315748,19.087511,-99.315748,19.311459,-99.10098,19.311459,-99.10098,19.087511
Trementa tormenta en la CDMX Zona Iztacalco... Los aguaceros de mayo dice la canción ☔ https://t.co/zsJuVS6Wig,Wed Apr 22 01:42:24 +0000 2020,"Iztacalco, Distrito Federal",-99.137171,19.375769,-99.137171,19.422433,-99.055821,19.422433,-99.055821,19.375769
@warkentin Quédense en casa........ no se vayan a mojar por el aguacero. Jejeje,Wed Apr 22 03:20:47 +0000 2020,"Tlalnepantla de Baz, México",-99.248181,19.498594,-99.248181,19.589272,-99.080384,19.589272,-99.080384,19.498594
@beltrandelrio Manden esos aguaceros para aca (bajio-centro) tanto nos hacen falta,Wed Apr 22 04:49:10 +0000 2020,"San Luis Potosí, México",-101.169792,21.959357,-101.169792,22.662882,-100.74123,22.662882,-100.74123,21.959357
"Córrreeeeeelllleeeee lunita_cdmx , nos agarró el aguacero ...

Fría la condenada lluvia y yo y mis taconcotes .....… https://t.co/Ke45WryrrT",Thu Apr 23 22:01:04 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
Ya que se suelte el aguacero,Fri Apr 24 22:39:57 +0000 2020,"Xalapa, Veracruz de Ignacio de la Llave",-96.971524,19.48425,-96.971524,19.599858,-96.800642,19.599858,-96.800642,19.48425
"@betymk Ayer llovió fuerte en tehuacan, como a las 7 cayó un aguacero brutal",Sat Apr 25 15:12:21 +0000 2020,"San Pedro Garza García, Nuevo León",-100.425188,25.583557,-100.425188,25.717018,-100.306878,25.717018,-100.306878,25.583557
Mi sobrinita fue por su mochila porque íbamos a practicar su lectura y justo se fue la luz y comenzó el aguacero no… https://t.co/rrF1IYPSne,Wed Apr 01 01:18:26 +0000 2020,"San Fernando, Chiapas",-93.320672,16.793558,-93.320672,17.031296,-93.092183,17.031296,-93.092183,16.793558
"Yo no quiero París con aguacero, ni Venecia sin tí... lo que yo quiero muchacha de ojos tristes, es que mueras por mí",Wed Apr 01 06:41:07 +0000 2020,"Nacajuca, Tabasco",-93.05727,18.003071,-93.05727,18.348425,-92.832279,18.348425,-92.832279,18.003071
Me agarró el aguacero en las talachas ptm y el wey ni me va atender🤬,Wed Apr 01 22:31:08 +0000 2020,"Metepec, México",-99.647028,19.215624,-99.647028,19.287437,-99.512801,19.287437,-99.512801,19.215624
"Inolvidable partido vivido en el estadio, cayó un puto aguacero.
Pinche equipazo que traia el Ame.",Thu Apr 02 16:04:20 +0000 2020,"Monterrey, Nuevo León",-100.421037,25.480538,-100.421037,25.802899,-100.166146,25.802899,-100.166146,25.480538
"#aguacero sobre Tuguz y en ese momento en rayo cayó! Precisamente en el centro, en el corazón del árbol de mango ce… https://t.co/hWihi4OrG3",Thu Apr 02 22:28:12 +0000 2020,"Tuxtla Gutiérrez, Chiapas",-93.243094,16.645909,-93.243094,16.838962,-93.036225,16.838962,-93.036225,16.645909
ahora que estamos todos en casa se antoja un aguacero de esos fregones....,Fri Apr 03 04:04:51 +0000 2020,"San Pedro Garza García, Nuevo León",-100.425188,25.583557,-100.425188,25.717018,-100.306878,25.717018,-100.306878,25.583557
Sospechoso siempre que está a punto de caer un aguacero en la ciudad pasa una avioneta y boom! Ya no llovió. Coincidencia? No lo creo!,Fri Apr 03 20:50:23 +0000 2020,"Tehuacán, Puebla",-97.638955,18.327584,-97.638955,18.604805,-97.205792,18.604805,-97.205792,18.327584
Dios mio y el sabroso aguacero que va a caer... Que rico,Fri Apr 03 23:34:59 +0000 2020,"Oaxaca de Juárez, Oaxaca",-96.780697,17.015437,-96.780697,17.165201,-96.669308,17.165201,-96.669308,17.015437
Un aguacero en venganza,Fri Apr 03 23:38:50 +0000 2020,"San Lorenzo Cacaotepec, Oaxaca",-96.834548,17.085933,-96.834548,17.161677,-96.769119,17.161677,-96.769119,17.085933
Sirve de algo el aguacero de esta noche en la #CDMX para la lucha contra el #COVID2019 ?? #viernesdeYaValio,Sat Apr 04 02:27:56 +0000 2020,"Gustavo A. Madero, Distrito Federal",-99.180678,19.444937,-99.180678,19.592375,-99.051103,19.592375,-99.051103,19.444937
¿Qué pedo con el aguacero en el sur de CDMX? No sé cómo esté en otros lados pero por Gran Sur está de miedo  el aire y la caída de agua. 😳,Sat Apr 04 03:13:42 +0000 2020,"Coyoacán, Distrito Federal",-99.205809,19.297011,-99.205809,19.359755,-99.098871,19.359755,-99.098871,19.297011
@JesusMartinMx Super aguacero al sur de la ciudad,Sat Apr 04 03:17:45 +0000 2020,"Coyoacán, Distrito Federal",-99.205809,19.297011,-99.205809,19.359755,-99.098871,19.359755,-99.098871,19.297011
@MiguelSandoval Bendito aguacero,Sat Apr 04 03:29:58 +0000 2020,"Miguel Hidalgo, Distrito Federal",-99.259495,19.386371,-99.259495,19.473498,-99.163526,19.473498,-99.163526,19.386371
"@Yorch_dela_U Me pasó lo mismo, me despertó el aguacero y los ventarrones.",Sat Apr 04 03:51:11 +0000 2020,"Coyoacán, Distrito Federal",-99.205809,19.297011,-99.205809,19.359755,-99.098871,19.359755,-99.098871,19.297011
Y cuando me había emocionado porque caía un aguacero en mi hermoso Escomiedo.. Solo duró 4 minutos 🙄🙄🙄🙄,Sat Apr 04 05:25:58 +0000 2020,"General Escobedo, Nuevo León",-100.465272,25.716689,-100.465272,25.89794,-100.265275,25.89794,-100.265275,25.716689
Que bonita va mi flor de Hawaiana... en esta tarde anaranjada que está pregonando un aguacero de esos marca “Noe” a… https://t.co/vLW6g4WoPp,Tue Apr 07 00:40:26 +0000 2020,"Chiapas, México",-94.230569,14.531918,-94.230569,17.985291,-90.371407,17.985291,-90.371407,14.531918
Solo a don Cruz y a Karla se le ocurre hacer carne asada con semejante aguacero,Sat Apr 25 23:57:11 +0000 2020,"Zempoala, Hidalgo",-98.811852,19.813923,-98.811852,20.032784,-98.524876,20.032784,-98.524876,19.813923
va a caer el aguacero,Sun Apr 26 00:27:55 +0000 2020,"Mérida, Yucatán",-89.798197,20.695104,-89.798197,21.186966,-89.449025,21.186966,-89.449025,20.695104
