Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
"Entrega de despensas y cobertores en San Pedro Yancuitlalpan 
#HaciendoComunidad #OSC #Puebla
#NosCuidamosTodos https://t.co/c5V1OHfo3F",Fri Apr 24 00:46:16 +0000 2020,"Zacatlán, Puebla",-98.181426,19.833468,-98.181426,20.090119,-97.857716,20.090119,-97.857716,19.833468
Confitmen si ya estamos en #cuu en la etapa del aire prendido con el cobertor encima.,Sat Apr 25 02:27:47 +0000 2020,"Chihuahua, México",-106.619964,28.096608,-106.619964,29.787124,-105.705833,29.787124,-105.705833,28.096608
"@lgpar Mejor te meto a un cuarto frío pero sin cobertor, a ver si muy salsa.",Sat Apr 25 16:28:27 +0000 2020,"San Pedro Garza García, Nuevo León",-100.425188,25.583557,-100.425188,25.717018,-100.306878,25.717018,-100.306878,25.583557
"@Alfalta90 Jajaja recuerdo que mi primera vez dormí en el suelo con una almohada un cobertor y una morrita, tenía u… https://t.co/b4uaWTe3xl",Thu Apr 02 02:10:56 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
Me encanta mi nuevo cobertor 😻,Mon Apr 06 04:53:15 +0000 2020,"Mérida, Yucatán",-89.798197,20.695104,-89.798197,21.186966,-89.449025,21.186966,-89.449025,20.695104
@florecitu Y los cobertores de Tigre,Wed Apr 08 01:25:50 +0000 2020,"Jesús María, Aguascalientes",-102.597969,21.805418,-102.597969,22.062873,-102.260394,22.062873,-102.260394,21.805418
"Ventilador al 3 + cobertor + Netflix. 
Excelente combinación 🤩👌",Sun Apr 26 16:09:19 +0000 2020,"Apodaca, Nuevo León",-100.277595,25.694281,-100.277595,25.863077,-100.05984,25.863077,-100.05984,25.694281
@C_Lobato @cuazzjjhm Lamentablemente si por eso se les prohibe a los familiares meter cobertores y son necios por m… https://t.co/9brcN1wT3W,Sun Apr 12 00:41:21 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
Verga y yo sigo durmiendo con cobertor !! Alguien que me diga si estoy mal?,Thu Apr 16 12:20:03 +0000 2020,"Miguel Hidalgo, Distrito Federal",-99.259495,19.386371,-99.259495,19.473498,-99.163526,19.473498,-99.163526,19.386371
"Cobertor Funny Unicornio, Código 52213, a $499 precio catalogo
#FelizJueves  #QuedateEnCasa #Vianney
#Coordinadora https://t.co/2LRsshjSN9",Thu Apr 16 15:03:48 +0000 2020,"Ecatepec de Morelos, México",-99.118665,19.484399,-99.118665,19.652161,-98.970224,19.652161,-98.970224,19.484399
"Cobertor Funny Mermaid, Código 52333, a *$499* precio catalogo
#FelizJueves #QuedateEnCasa #Vianney #Coordinadora https://t.co/3aAESJo6fU",Thu Apr 16 15:06:32 +0000 2020,Héroes de la Independencia,-99.046571,19.540638,-99.046571,19.540638,-99.046571,19.540638,-99.046571,19.540638
"Cobertor Funny Dinosaurio, Código 52228, a *$499* precio catalogo
#FelizJueves #QuedateEnCasa #Vianney #Coordinadora https://t.co/zRjBY5UerO",Thu Apr 16 15:07:09 +0000 2020,Héroes de la Independencia,-99.046571,19.540638,-99.046571,19.540638,-99.046571,19.540638,-99.046571,19.540638
"@Vince_Osnaya En shinga amigo, ya lave, cobijas, cobertores jajajaja si ando ocupado",Thu Apr 16 21:19:29 +0000 2020,"Iztapalapa, Distrito Federal",-99.140238,19.284692,-99.140238,19.400885,-98.960684,19.400885,-98.960684,19.284692
"@carlos__enriqe A éstas alturas del año ya nos estamos asando en la Aldea, y yo sigo durmiendo con mi cobertor de tigre",Fri Apr 17 05:06:08 +0000 2020,"El Grullo, Jalisco",-104.293486,19.690586,-104.293486,19.902541,-104.110576,19.902541,-104.110576,19.690586
Shiale y yo ando con mi cobertor de trigre 😖,Mon Apr 20 00:06:08 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
"Compré nuevo set de cobertor y sábanas para nuestra recámara, y cuando le mando foto a mi papá me dice oyeee yo ten… https://t.co/ngFqDoWnPY",Mon Apr 20 18:45:33 +0000 2020,"Monterrey, Nuevo León",-100.421037,25.480538,-100.421037,25.802899,-100.166146,25.802899,-100.166146,25.480538
