Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
De la nada nos tocaron la puerta del dormitorio lo cual está super raro por lo que les contaba de la discreción. O… https://t.co/aSQxCRjfDC,Thu Apr 23 06:53:29 +0000 2020,Veracruz de Ignacio de la Llave,Emiliano Zapata,R,-96.7223325,19.455647499999998,56
"En febrero entregamos artículos dormitorios, y con los esfuerzos de Protección Civil municipal se instalaron para g… https://t.co/8Gx2FoqyBM",Fri Apr 24 20:35:39 +0000 2020,Coahuila de Zaragoza,Acuña,R,-101.8772055,29.422802500000003,0
"Ahora por el contexto de la pandemia, los artículos dormitorios están siendo utilizados para albergar personas en c… https://t.co/0kBI7krlxD",Fri Apr 24 20:40:32 +0000 2020,Coahuila de Zaragoza,Acuña,R,-101.8772055,29.422802500000003,0
"Ahora por el contexto de la pandemia, los artículos de dormitorio están siendo utilizados para albergar personas en… https://t.co/szOlnOffTR",Fri Apr 24 20:47:17 +0000 2020,Coahuila de Zaragoza,Acuña,R,-101.8772055,29.422802500000003,0
"Por ahora la habitación es oficina, zona de arte y dormitorio./ Until now the bedroom is office, art zone and bedro… https://t.co/RICNcRYsFu",Fri Apr 24 21:23:15 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
"@atlxolotl Si, por eso yo dudo que puedas tener visitas, es más como vivienda dormitorio (a mi no me molesta que me vean bañarme) xD",Wed Apr 01 23:15:13 +0000 2020,Ciudad de México,Azcapotzalco,U,-99.18212600000001,19.4857835,432205
"#Soldados y #COVID-19: de manejar tanques a cargar #enfermos

Los #soldados convertirán sus dormitorios en lugares… https://t.co/RZCIsaiUab",Thu Apr 02 03:11:50 +0000 2020,México,Huixquilucan,R,-99.3184285,19.3740755,142
"Tengo un dormitorio institucional perfecto para vivir... y #AsiEsMiHomeOffice, no necesito más para lo mucho o poco… https://t.co/5FWnBuzL7Y",Fri Apr 03 03:10:20 +0000 2020,Oaxaca,Juchitán de Zaragoza,R,-94.956445,16.53338,2
@jmatuk Voy a ir a encerrarme en el dormitorio a llorar 🤣🤣🤣🤣,Sat Apr 04 00:47:55 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
"“Pues cuando en nuestros dormitorios ensayamos las diferentes posturas del amor, tú sola nos asistes y nadie te rec… https://t.co/FicV8vfaWn",Sat Apr 04 07:53:50 +0000 2020,Sonora,Cananea,R,-110.20595949999999,30.990264500000002,0
