Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
Las piernas DEMASIADO peludas si me dan asquilin 😖😖😖,Sun Apr 05 17:57:29 +0000 2020,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
@NandodeOca Que no es asquilines? D: En mi rancho así se les dice.,Sat Apr 11 18:27:00 +0000 2020,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
NETA ODIO LOS ASQUILINES,Mon May 04 21:16:24 +0000 2020,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
A mi también me da asquilin,Fri Jul 10 12:25:21 +0000 2020,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
"Chiale, que asquilin!!!!",Thu Feb 18 05:09:25 +0000 2021,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
#sorrynotsorry cuando me coteja un chilango me da asquilin 🤮,Sat Apr 24 17:03:31 +0000 2021,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
"Maldición se me estan subiendo los asquilines ¿en que me pare o que onda?
Así tal cual como cuando les respondo a l… https://t.co/M6GVA14uY6",Wed Aug 18 05:31:18 +0000 2021,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
@ComandanteenJe3 @acastilloDC Pinche cerebro de asquilin,Fri Sep 03 03:30:38 +0000 2021,"Villa de Álvarez, Colima",-104.031343,19.219302,-104.031343,19.434628,-103.644297,19.434628,-103.644297,19.219302
@YayaMarchena No le dara asquilin?,Sat Oct 02 02:59:01 +0000 2021,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
Mis cheetossss😭😭😭 podio los asquilines,Sun Oct 03 00:06:31 +0000 2021,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
Las niñas me enseñan historias que les contestaste estando conmigo y cada vez más asquilin 🤮,Mon Nov 01 15:37:22 +0000 2021,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
Que asquilin escuchar a la Marichu comiendo en clase de Opun🙃,Mon Jan 17 20:06:07 +0000 2022,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
"@HctorDanielV1 @asquilin @INEMexico Gracias por ejercer su deber como ciudadano, pero solamente le digo que si sale… https://t.co/e4CTd8jlkB",Fri Mar 04 23:53:34 +0000 2022,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
"@JeSuis34C Pinches asquilines, que ni hacen nada pero como hostigan 🙄",Sun Mar 20 19:01:21 +0000 2022,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
"Se nota que al Canciller le dio asquilin, como voltea la cara, todo su lenguaje corporal lo demuestra.

Ya veremos… https://t.co/B9oYWmuPGT",Thu Oct 06 02:05:13 +0000 2022,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
@zangavii Esta buenísima pero coincido hay varias escenas que si dan asquilin,Sat Oct 29 16:45:02 +0000 2022,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
@ReyDeShemales Asquilin,Fri Nov 11 02:43:33 +0000 2022,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
@DelaTorRick Puta delicia ya hasta se me subieron los asquilines,Tue Nov 29 21:35:51 +0000 2022,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
