Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
@MarianaOE El quesillo es lo mismo que el requeson?,Tue Apr 21 21:37:15 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
"Si queso en italiano es formaggio, quesillo será  formarighiggio?

#felizjueves https://t.co/4s7TvuAnRU",Thu Apr 23 15:08:25 +0000 2020,Puebla,Amozoc,R,-98.1542665,19.0322295,616
"¿Sopa de tortillas o sopa azteca? No sabemos pero lo que sí podemos decirles, es que le pongan quesillo antes de ve… https://t.co/7nyWbBAFAP",Thu Apr 23 23:19:56 +0000 2020,Puebla,Amozoc,R,-98.1542665,19.0322295,616
El queso oaxaca sabe de la vrg 🤮 si fuera quesillo o queso de hebra pos si 🤤,Fri Apr 24 13:23:06 +0000 2020,Veracruz de Ignacio de la Llave,Córdoba,R,-96.937002,18.925289499999998,0
"Ya desayunaron pobres 🤤💅🌞
#omelette (tomate y quesillo) #frijoles (de las enfrijoladas de Anahí, con queso) 🤩☀️😍🤤 e… https://t.co/4tUJf2pjQ0",Fri Apr 24 17:38:23 +0000 2020,Oaxaca,San Pedro Totolápam,R,-96.254417,16.6586155,0
"La vegetariana se enojo porque eligí la coca en vez del quesillo, ahí podemos apreciar claramente que aún tiene instinto carnívoro 🤣",Sat Apr 25 16:12:51 +0000 2020,Chiapas,Tuxtla Gutiérrez,U,-93.13965950000001,16.7424355,578830
"Oigan y a ustedes les gustan las gorditas???

A mí sí y más si llevan quesillo....

#SabadoDeSeduccion… https://t.co/uddwJJy1mq",Sat Apr 25 20:03:59 +0000 2020,México,Nezahualcóyotl,R,-99.01701650000001,19.432722,85
"Ya extraño el quesillo, las tlayudas, el chocolate, el pan de yema y a los abuelos 🥺",Sat Apr 25 20:37:59 +0000 2020,Jalisco,Zapopan,R,-103.48477450000001,20.790657000000003,40
@soyunareinota Quesillo es el queso de Oaxaca?,Thu Apr 02 00:30:22 +0000 2020,Baja California,Mexicali,R,-115.22918000000001,31.789669500000002,19
"@Praise_the_day Oaxaca: quesillo
Resto del mundo: Queso Oaxaca 😂",Thu Apr 02 14:25:24 +0000 2020,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
"Acabo de escuchar a uno de mis compañeros de trabajo decirle queso Oaxaca al quesillo, al chile si me enojé.",Fri Apr 03 21:23:57 +0000 2020,Guanajuato,Comonfort,R,-100.801398,20.738964000000003,5
"Queso Oaxaca = Quesillo 
Enchiladas potosinas = Enchiladillas",Fri Apr 03 23:34:01 +0000 2020,San Luis Potosí,San Luis Potosí,R,-100.955511,22.3111195,18
"@man0372monster El mezcal te lo guardé, por que no bebo, y quesillo traía de a madres la tlayuda",Sat Apr 04 02:55:12 +0000 2020,Oaxaca,Oaxaca de Juárez,R,-96.7250025,17.090319,685
