Estado,brasier,chichero,TOTAL,brasier_FR,chichero_FR
Aguascalientes,7,0,7,100,0
Baja California,51,1,52,98.07692308,1.923076923
Baja California Sur,13,0,13,100,0
Campeche,10,3,13,76.92307692,23.07692308
Chiapas,22,0,22,100,0
Chihuahua,28,8,36,77.77777778,22.22222222
Ciudad de México,249,11,260,95.76923077,4.230769231
Coahuila de Zaragoza,26,1,27,96.2962963,3.703703704
Colima,8,0,8,100,0
Durango,5,1,6,83.33333333,16.66666667
México,135,3,138,97.82608696,2.173913043
Guanajuato,22,2,24,91.66666667,8.333333333
Guerrero,9,1,10,90,10
Hidalgo,24,1,25,96,4
Jalisco,97,3,100,97,3
Michoacán de Ocampo,25,1,26,96.15384615,3.846153846
Morelos,10,0,10,100,0
Nayarit,9,0,9,100,0
Nuevo León,111,13,124,89.51612903,10.48387097
Oaxaca,15,1,16,93.75,6.25
Puebla,50,2,52,96.15384615,3.846153846
Querétaro,41,3,44,93.18181818,6.818181818
Quintana Roo,50,6,56,89.28571429,10.71428571
San Luis Potosí,14,1,15,93.33333333,6.666666667
Sinaloa,28,0,28,100,0
Sonora,45,0,45,100,0
Tabasco,27,0,27,100,0
Tamaulipas,34,1,35,97.14285714,2.857142857
Tlaxcala,9,0,9,100,0
Veracruz de Ignacio de la Llave,56,2,58,96.55172414,3.448275862
Yucatán,46,0,46,100,0
Zacatecas,8,1,9,88.88888889,11.11111111
Total,1284,66,1350,95.11111111,4.888888889
