Estado,cinturon,cinto,fajo,TOTAL,cinturon_FR,cinto_FR
Aguascalientes,24,11,0,35,68.57142857,31.42857143
Baja California,58,46,0,104,55.76923077,44.23076923
Baja California Sur,19,7,0,26,73.07692308,26.92307692
Campeche,17,2,0,19,89.47368421,10.52631579
Chiapas,38,1,0,39,97.43589744,2.564102564
Chihuahua,43,22,0,65,66.15384615,33.84615385
Ciudad de México,698,59,0,757,92.20607662,7.793923382
Coahuila de Zaragoza,47,38,0,85,55.29411765,44.70588235
Colima,9,6,0,15,60,40
Durango,23,7,0,30,76.66666667,23.33333333
México,333,23,0,356,93.53932584,6.460674157
Guanajuato,94,30,0,124,75.80645161,24.19354839
Guerrero,33,3,0,36,91.66666667,8.333333333
Hidalgo,27,3,0,30,90,10
Jalisco,264,53,0,317,83.2807571,16.7192429
Michoacán de Ocampo,36,4,0,40,90,10
Morelos,29,3,0,32,90.625,9.375
Nayarit,4,8,0,12,33.33333333,66.66666667
Nuevo León,196,125,0,321,61.05919003,38.94080997
Oaxaca,40,5,0,45,88.88888889,11.11111111
Puebla,128,10,0,138,92.75362319,7.246376812
Querétaro,105,5,0,110,95.45454545,4.545454545
Quintana Roo,88,3,0,91,96.7032967,3.296703297
San Luis Potosí,47,5,0,52,90.38461538,9.615384615
Sinaloa,45,38,0,83,54.21686747,45.78313253
Sonora,108,56,0,164,65.85365854,34.14634146
Tabasco,82,3,0,85,96.47058824,3.529411765
Tamaulipas,59,24,0,83,71.08433735,28.91566265
Tlaxcala,10,1,0,11,90.90909091,9.090909091
Veracruz de Ignacio de la Llave,128,6,0,134,95.52238806,4.47761194
Yucatán,101,3,0,104,97.11538462,2.884615385
Zacatecas,18,5,0,23,78.26086957,21.73913043
Total,2951,615,0,3566,82.75378575,17.24621425
