Estado,comezon,picazon,rasquera,rasquina,comezon_FR,picazon_FR,rasquera_FR,rasquina_FR
Aguascalientes,19,1,0,0,95.0,5.0,0.0,0.0
Baja California,35,4,1,0,87.5,10.0,2.5,0.0
Baja California Sur,7,0,0,0,100.0,0.0,0.0,0.0
Campeche,9,8,0,0,52.94117647058824,47.05882352941176,0.0,0.0
Chiapas,12,3,0,0,80.0,20.0,0.0,0.0
Chihuahua,49,2,0,0,96.07843137254902,3.9215686274509802,0.0,0.0
Ciudad de México,283,17,0,1,94.01993355481729,5.647840531561462,0.0,0.33222591362126247
Coahuila,53,5,0,1,89.83050847457628,8.47457627118644,0.0,1.694915254237288
Colima,5,0,0,0,100.0,0.0,0.0,0.0
Durango,19,2,0,0,90.47619047619048,9.523809523809524,0.0,0.0
Estado de México,174,11,0,0,94.05405405405406,5.9459459459459465,0.0,0.0
Guanajuato,63,3,0,0,95.45454545454545,4.545454545454546,0.0,0.0
Guerrero,12,4,1,9,46.15384615384615,15.384615384615385,3.8461538461538463,34.61538461538461
Hidalgo,29,6,0,0,82.85714285714286,17.142857142857142,0.0,0.0
Jalisco,141,14,0,0,90.96774193548387,9.032258064516128,0.0,0.0
Michoacán,24,2,0,0,92.3076923076923,7.6923076923076925,0.0,0.0
Morelos,32,2,0,0,94.11764705882352,5.88235294117647,0.0,0.0
Nayarit,4,0,0,0,100.0,0.0,0.0,0.0
Nuevo León,244,12,0,1,94.94163424124513,4.669260700389105,0.0,0.38910505836575876
Oaxaca,8,1,0,0,88.88888888888889,11.11111111111111,0.0,0.0
Puebla,51,5,0,1,89.47368421052632,8.771929824561402,0.0,1.7543859649122806
Querétaro,59,4,0,0,93.65079365079364,6.349206349206349,0.0,0.0
Quintana Roo,39,19,0,1,66.10169491525424,32.20338983050847,0.0,1.694915254237288
San Luis Potosí,36,3,0,0,92.3076923076923,7.6923076923076925,0.0,0.0
Sinaloa,53,0,2,0,96.36363636363636,0.0,3.6363636363636362,0.0
Sonora,59,9,12,0,73.75,11.25,15.0,0.0
Tabasco,30,39,0,1,42.857142857142854,55.714285714285715,0.0,1.4285714285714286
Tamaulipas,55,4,0,0,93.22033898305084,6.779661016949152,0.0,0.0
Tlaxcala,9,0,0,0,100.0,0.0,0.0,0.0
Veracruz,63,17,0,3,75.90361445783132,20.481927710843372,0.0,3.614457831325301
Yucatán,40,20,0,0,66.66666666666666,33.33333333333333,0.0,0.0
Zacatecas,17,0,0,0,100.0,0.0,0.0,0.0
Total,1733,217,16,18
